#Testlevel

#Red Green Blue; the higher the brighter; >none< leads to no shadow
shadow:
#0;30;30
none

spawnpoints:
#ID						;PosX;PosY	;Direction
default		;20		;20			;south

tiledefinition:
#Floor
#code     ;name        ;spritename                  ;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
space0    ;space							;floor/space/s0 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space1    ;space							;floor/space/s1 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space2    ;space							;floor/space/s2 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
space3    ;space							;floor/space/s3 													;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none
spaceC    ;space							;floor/space/s_ceres									;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none


#Walls
#code     ;name        					;spritename                     																																			;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning
#transporter
back_e				;transportHull				;walls/transporterhull/hull_e																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
back_w				;transportHull				;walls/transporterhull/hull_w																																						;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
fr_n00				;transportHull				;walls/transporterhull/hull_s_0							  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
fr_ne0				;transportHull				;walls/transporterhull/hull_ne						    																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
fr_nw0				;transportHull				;walls/transporterhull/hull_nw					     																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;034											;064									;094										;none
fr_sw0				;transportHull				;walls/transporterhull/front_sw_0						 																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRf__0				;transportFloor			;walls/transporterhull/floor_0									 																											;false				;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRws_0				;transportwall				;walls/transporterhull/wall_0								   																											;true					;0												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwse0				;transportwall				;walls/transporterhull/wall_se								  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none
TRwsw0				;transportwall				;walls/transporterhull/wall_sw								  																											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none

elev__				;elevator									;../actorData/doors/updown/elevator/base_3x2																							;false				;0												;0			;0												;0				;0				;0										;0											;000									 	;000									 	;000									;000										;none
tank_A				;tank													;machines/lifesupport/algae_tank_64_128_a4																									;true					;1 											;4   ;4            ;4    ;1    ;64         ;128         ;0             ;0             ;0           ;0												;greenlight256
tank_B				;tank													;machines/greenTank_Anim																																											;true					;1 											;4   ;4            ;4    ;1    ;64         ;128         ;0             ;0             ;0           ;0												;greenlight256


actors:
#code 					;actorFileN																														;IngameName															;sprite-status						;sensor-status	;direction
player					;player																																		;Revolutionary												;default												;default																;north
elevSc					;doors/updown/elevator/elevator										;main elevator												;toFreightDeck						;default																;undefined


Actorgroups:
#System-Name					;Logic																										;Influenced-System	;members by actorId (logic-Options: isBaseSystem)
#Air System
#airSystemMonitor	;none 																										;none 													;airCon ;airVeR; airVeL
#airSystemBase				;isBaseSystem 																		;airSystemEnd 					;airCon
#airSystemEnd					;none 																										;none 													;airVeR ;airVeL

#level change
#dockingBay													;levelchange																				;northDoor									;doorLe

#sets 64 bits tiles as raster; you can add multiple layers; later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
#			;001			;002				;003				;004				;005				;006				;007				;008				;009				;010				;011				;012				;013				;014				;015				;016				;017				;018				;019				;020				;021				;022				;023				;024				;025				;026				;027				;028				;029
001 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
002 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
003 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
004 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
005 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
006 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
007 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
008 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
009 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
010 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
011 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
012 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
013 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
014 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______
015 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
016 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
017 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
018 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
019 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
020 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; ______; ______; ______; ______; ______; ______; ______
021 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; elev__; __xx__; __xx__; TRf__0; ______; ______; ______
022 ;______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; ______; TRf__0; TRf__0; TRf__0; __xx__; __xx__; __xx__; TRf__0; ______; ______; ______
